timestamp,ticker,market,signal_type,price,reason,values,rule_id,notes
2025-02-06 00:00:00,HII,NA,BUY,157.5559,entry_ok,"{""rsi"":18.60640280041312,""drop_pct"":-21.744878102053644,""zscore"":-4.84230494916253}",ENTRY_V1,
2025-02-06 00:00:00,SWKS,NA,BUY,64.2619,entry_ok,"{""rsi"":14.872208386544997,""drop_pct"":-29.096414563708883,""zscore"":-5.889137474445199}",ENTRY_V1,
2025-02-06 00:00:00,UPS,NA,BUY,108.0181,entry_ok,"{""rsi"":26.926291556128035,""drop_pct"":-15.073721867866585,""zscore"":-2.0859999573561816}",ENTRY_V1,
2025-02-07 00:00:00,DECK,NA,BUY,168.2400,entry_ok,"{""rsi"":26.180410244512146,""drop_pct"":-22.527167684645335,""zscore"":-2.654245890786052}",ENTRY_V1,
2025-02-07 00:00:00,DHR,NA,BUY,206.1172,entry_ok,"{""rsi"":22.55039457267125,""drop_pct"":-15.882831370748274,""zscore"":-2.7694822084756034}",ENTRY_V1,
2025-02-07 00:00:00,FMC,NA,BUY,33.6049,entry_ok,"{""rsi"":12.385503534613107,""drop_pct"":-37.832975981178826,""zscore"":-3.2053843446817467}",ENTRY_V1,
2025-02-07 00:00:00,HII,NA,BUY,166.1758,entry_ok,"{""rsi"":26.652048067447495,""drop_pct"":-16.88535856524296,""zscore"":-3.149062144242688}",ENTRY_V1,
2025-02-07 00:00:00,ILMN,NA,BUY,111.0600,entry_ok,"{""rsi"":21.550771990822355,""drop_pct"":-18.47012438455733,""zscore"":-3.7887744253207942}",ENTRY_V1,
2025-02-07 00:00:00,RHI,NA,BUY,57.9898,entry_ok,"{""rsi"":7.540348866506648,""drop_pct"":-15.111617605654015,""zscore"":-2.7324846581369577}",ENTRY_V1,
2025-02-07 00:00:00,SWKS,NA,BUY,64.3501,entry_ok,"{""rsi"":9.691383248123742,""drop_pct"":-27.971483696789722,""zscore"":-4.482847349508574}",ENTRY_V1,
2025-02-10 00:00:00,DECK,NA,BUY,161.6500,entry_ok,"{""rsi"":20.81015549661771,""drop_pct"":-23.714016728357112,""zscore"":-2.847972351312246}",ENTRY_V1,
2025-02-10 00:00:00,DHR,NA,BUY,202.8673,entry_ok,"{""rsi"":13.12874060514524,""drop_pct"":-18.79165443003522,""zscore"":-2.7957344623269336}",ENTRY_V1,
2025-02-10 00:00:00,FMC,NA,BUY,34.1498,entry_ok,"{""rsi"":10.496324728695413,""drop_pct"":-37.22053222179943,""zscore"":-2.813851989121201}",ENTRY_V1,
2025-02-10 00:00:00,GM,NA,BUY,46.3041,entry_ok,"{""rsi"":23.554920064834093,""drop_pct"":-15.203931495034706,""zscore"":-2.399201876111159}",ENTRY_V1,
2025-02-10 00:00:00,HII,NA,BUY,165.9588,entry_ok,"{""rsi"":19.940402147164363,""drop_pct"":-17.104293096335134,""zscore"":-2.843851283158624}",ENTRY_V1,
2025-02-10 00:00:00,ILMN,NA,BUY,104.9900,entry_ok,"{""rsi"":10.895788308990404,""drop_pct"":-23.94784821235636,""zscore"":-3.841054377532763}",ENTRY_V1,
2025-02-10 00:00:00,RHI,NA,BUY,58.0582,entry_ok,"{""rsi"":5.393303421364152,""drop_pct"":-15.374753165437461,""zscore"":-2.5042270332533603}",ENTRY_V1,
2025-02-10 00:00:00,SWKS,NA,BUY,63.3215,entry_ok,"{""rsi"":8.587587476262584,""drop_pct"":-27.849086846352133,""zscore"":-3.846159223196059}",ENTRY_V1,
2025-02-11 00:00:00,DECK,NA,BUY,157.6400,entry_ok,"{""rsi"":19.2241663991269,""drop_pct"":-26.99147798885031,""zscore"":-2.8259863982835705}",ENTRY_V1,
2025-02-11 00:00:00,DHR,NA,BUY,200.9932,entry_ok,"{""rsi"":12.587931591704091,""drop_pct"":-18.649125762786735,""zscore"":-2.6914846256635694}",ENTRY_V1,
2025-02-11 00:00:00,FMC,NA,BUY,35.4632,entry_ok,"{""rsi"":15.203087531112686,""drop_pct"":-35.20000228628609,""zscore"":-2.396940363099679}",ENTRY_V1,
