date,nav,cash,n_pos
2023-03-13,100344.1844432151,27789.35787485,10
2023-03-14,103159.66419549452,25137.787402109978,10
2023-03-15,99610.9157921623,26416.73252886044,10
2023-03-16,100756.46763618005,28331.8034575702,10
2023-03-17,98704.17180744123,35392.130852136135,10
2023-03-20,98940.73818961886,43157.81057922152,9
2023-03-21,101183.77136913719,101183.77136913719,0
2023-03-22,101176.26227404544,97243.22823168704,1
2023-03-23,101221.18865941153,94834.87538121329,2
2023-03-24,101322.31274388419,94834.87538121329,2
2023-03-27,101319.28040442102,97313.37325415247,1
2023-03-28,101209.33130774133,97313.37325415247,1
2023-03-29,101272.97904668932,101272.97904668932,0
2023-03-30,101272.97904668932,101272.97904668932,0
2023-03-31,101272.97904668932,101272.97904668932,0
2023-04-03,101272.97904668932,101272.97904668932,0
2023-04-04,101282.64475756578,99043.04469042711,1
2023-04-05,101317.21602145772,62617.47188464742,9
2023-04-06,101245.17140015765,59151.34127244158,10
2023-04-07,101245.17140015765,59151.34127244158,10
2023-04-10,101520.5704670827,59151.34127244158,10
2023-04-11,102030.47664168787,65608.31748488855,8
2023-04-12,102363.68152278049,102363.68152278049,0
2023-04-13,102327.3961879512,91598.8943130275,2
2023-04-14,102182.2818748256,91598.8943130275,2
2023-04-17,102287.56734769547,91598.8943130275,2
2023-04-18,102198.02737168132,95877.13416031658,1
2023-04-19,102171.58283235016,89827.25653459015,2
2023-04-20,102109.20521284713,49818.10196925773,10
2023-04-21,102204.80967833175,49818.10196925773,10
2023-04-24,102105.02933742179,49818.10196925773,10
2023-04-25,101534.95636178626,49818.10196925773,10
2023-04-26,100904.62699994656,46581.504822822535,10
2023-04-27,101238.54979108286,47338.850883230676,10
2023-04-28,102327.10963796091,47338.850883230676,10
2023-05-01,102463.49116490793,47338.850883230676,10
2023-05-02,101529.8055226655,47338.850883230676,10
2023-05-03,101653.36918337908,42443.551272231016,10
2023-05-04,99557.98495572456,29568.41568940528,10
2023-05-05,102523.9371995295,29568.41568940528,10
2023-05-08,102749.28076000231,28893.20175952929,10
2023-05-09,102466.5127006528,30972.55791625949,10
2023-05-10,101640.68775901514,40911.094840619146,10
2023-05-11,101165.1281659417,49213.16294644402,10
2023-05-12,100762.27636120842,49213.16294644402,10
2023-05-15,101022.57181466944,64943.67004979975,7
2023-05-16,100451.45936122544,68423.62113872178,6
2023-05-17,100709.38416385683,79471.66444492372,4
2023-05-18,100829.0840374214,92310.81187403029,2
2023-05-19,100905.4963567796,89036.41328030254,3
2023-05-22,100926.94918041851,89036.41328030254,3
2023-05-23,100849.54702218516,72436.31722100718,7
2023-05-24,100827.43180506781,58572.51174920157,10
2023-05-25,100434.59690393774,52125.51552976934,10
2023-05-26,100976.35577740041,52125.51552976934,10
2023-05-29,100976.35577740041,52125.51552976934,10
2023-05-30,100582.08322051441,63204.793147596465,8
2023-05-31,100123.93120845022,72935.20272143545,6
2023-06-01,99668.41495920857,75746.0809328719,5
2023-06-02,100476.56214745625,77727.62967141255,4
2023-06-05,100185.15057873067,71388.78165554341,5
2023-06-06,100249.06543850854,81879.85913968041,3
2023-06-07,100237.4948637359,76344.71713851618,4
2023-06-08,100424.30276902637,88060.9909175249,2
2023-06-09,100341.54871781787,88060.9909175249,2
2023-06-12,100266.30528044142,89674.40041899122,2
2023-06-13,100304.6370675508,89674.40041899122,2
2023-06-14,100254.96909320596,86382.76250827554,3
2023-06-15,100717.604071161,84258.73327114269,3
2023-06-16,100335.07276775523,84258.73327114269,3
2023-06-19,100410.55742515925,89345.42101158503,2
2023-06-20,100420.26571058255,84784.13920759183,3
2023-06-21,100392.1220651792,86541.67893182501,3
2023-06-22,100387.97787543036,91460.38018198706,2
2023-06-23,100383.35877247549,91460.38018198706,2
2023-06-26,100421.54348107077,91460.38018198706,2
2023-06-27,100342.86367021299,86952.03130231595,3
2023-06-28,100463.63678266332,87024.26981832311,3
2023-06-29,100431.8039426975,87024.26981832311,3
2023-06-30,100562.99602987096,87024.26981832311,3
2023-07-03,100651.62813138006,91959.54418705938,2
2023-07-04,100628.20146563444,96338.05278399381,1
2023-07-05,100615.72555216574,100615.72555216574,0
2023-07-06,100585.76522612356,97815.34756254934,1
2023-07-07,100641.68980744616,90391.16988709704,3
2023-07-10,100747.14666838391,85627.14396757825,4
2023-07-11,101002.2758678176,88638.8237155654,3
2023-07-12,101229.5590753891,96322.98375800629,1
2023-07-13,101298.62651525582,89204.50481115426,2
2023-07-14,101425.89190296138,79774.75206903422,5
2023-07-17,101537.5404078037,67406.32693949048,7
2023-07-18,101792.29190483395,67406.32693949048,7
2023-07-19,102714.1308501832,79931.36417733354,4
2023-07-20,102905.48829744088,83438.73713610398,4
2023-07-21,102742.90086576647,79673.41528341478,4
2023-07-24,102493.19243843979,72648.49842102951,6
2023-07-25,102399.38494022778,63792.47288044385,7
2023-07-26,102045.08637725066,54025.45903884123,9
2023-07-27,101841.91518253932,44252.111998030035,10
2023-07-28,102547.36252110744,43492.66718381191,10
2023-07-31,103055.22340957863,40735.699987337415,10
2023-08-01,104168.6403270666,73289.78060874385,5
2023-08-02,103970.92921923692,37046.678452482774,10
2023-08-03,103220.3923664379,35615.21482470511,10
2023-08-04,103371.48183267334,32833.80655496338,10
2023-08-07,104025.71204727347,33330.02272957023,10
2023-08-08,103946.30771861153,35094.99140486794,10
2023-08-09,103818.78208658478,44363.538555357656,10
2023-08-10,104050.93162273295,44846.25674651989,10
2023-08-11,103934.39390682109,44846.25674651989,10
2023-08-14,103855.89465717255,54267.931986131065,8
2023-08-15,103072.58307710494,51651.735618027094,10
2023-08-16,102461.00779061578,53869.976592114195,10
2023-08-17,102266.94706468574,54534.99632649413,10
2023-08-18,101571.88568598549,54528.11952668945,10
2023-08-21,100903.63247556015,57918.36253613755,10
2023-08-22,100886.73774288945,74137.26232479863,6
2023-08-23,101176.1520029257,87291.63732397062,3
2023-08-24,100762.67964096939,79694.31245346939,5
2023-08-25,100843.72624131119,79694.31245346939,5
2023-08-28,101130.1562036312,95898.63630617026,1
2023-08-29,101068.83624208334,95898.63630617026,1
2023-08-30,101127.21621644858,95898.63630617026,1
2023-08-31,100986.07141865804,100986.07141865804,0
2023-09-01,100969.28761891782,77652.52814702451,5
2023-09-04,100961.5488036102,77652.52814702451,5
2023-09-05,100679.99573115386,71277.54451731719,7
2023-09-06,100505.97682740417,63187.17999436583,9
2023-09-07,99753.20258377831,54025.067301261835,10
2023-09-08,99543.19793157806,57024.427070906066,10
2023-09-11,99990.4851841601,54387.91395994746,10
2023-09-12,99511.79913685142,51648.734479640116,10
2023-09-13,99726.22120613253,51270.074220124836,10
2023-09-14,100217.88733289091,67389.52865216581,7
2023-09-15,100225.43409349553,75982.08470537297,5
2023-09-18,100206.02206187356,68579.30458252538,6
2023-09-19,100179.12813118254,68473.12259569918,7
2023-09-20,100463.35905249427,76923.00817663978,5
2023-09-21,99847.31181796754,57497.884819829116,10
2023-09-22,99538.97750362122,57497.884819829116,10
2023-09-25,99584.09965007383,62076.28754489499,10
2023-09-26,99434.58765570373,68479.54866139144,8
2023-09-27,99820.08161321687,65088.738451633915,9
2023-09-28,99287.44132590006,63159.92571854303,10
2023-09-29,99415.50648545931,63159.92571854303,10
2023-10-02,97699.50563047579,60596.32098816087,10
2023-10-03,97860.77322300914,57473.45698460581,10
2023-10-04,97820.51289838478,53053.260678230974,10
2023-10-05,97684.29438328951,49402.43354249209,10
2023-10-06,98136.9039993802,54699.380888036816,9
2023-10-09,98022.75308852203,69551.40910105713,6
2023-10-10,98383.51013972248,81116.9244539925,4
2023-10-11,97811.75420634616,80424.26123683322,4
2023-10-12,97872.8287295853,49024.99142642367,10
2023-10-13,98150.26287575424,49248.40862770736,10
2023-10-16,98712.175454337,49248.40862770736,10
2023-10-17,99493.04085863006,51893.39218080413,9
2023-10-18,99633.95936940232,56793.293649416366,8
2023-10-19,99555.00726791486,43003.93171402082,10
2023-10-20,98683.37464908996,39653.09139637389,10
2023-10-23,98359.45036510864,39653.09139637389,10
2023-10-24,98865.9851179544,39653.09139637389,10
2023-10-25,98666.47810040839,41853.02074681647,10
2023-10-26,99400.73225055297,38205.79482493958,10
2023-10-27,99282.46932223259,36583.04651263175,10
2023-10-30,100009.77013400017,36583.04651263175,10
2023-10-31,100976.67675796368,39439.19413009503,10
2023-11-01,101050.43356496112,32803.927177250545,10
2023-11-02,104062.56690553855,48991.6951079769,9
2023-11-03,104986.40388844715,70517.0709531139,6
2023-11-06,104460.2414427303,71406.76519303548,6
2023-11-07,104770.20474789875,74160.78953717487,6
2023-11-08,104722.30870755283,66416.2827943143,8
2023-11-09,104464.48046740437,56820.81662615681,10
2023-11-10,104844.78305768398,55350.738822454485,10
2023-11-13,104899.99820353571,60061.69713618341,9
2023-11-14,105814.68130879215,75974.99205164722,5
2023-11-15,107131.52778102603,88764.18026210513,3
2023-11-16,106646.72769096038,83968.35368659637,4
2023-11-17,106885.9461571992,86686.07153103953,4
2023-11-20,107090.29426739817,86686.07153103953,4
2023-11-21,107090.75560425411,79320.40275620113,5
2023-11-22,106777.95914141917,73588.63353411936,6
2023-11-23,106830.43821185168,84880.49282305774,4
2023-11-24,106711.54254802351,93916.70522197371,2
2023-11-27,106372.84022751582,100741.01210251582,1
2023-11-28,106448.75374069941,100741.01210251582,1
2023-11-29,106394.08993510531,89170.03981379794,3
2023-11-30,106477.67963008212,89170.03981379794,3
